    565 云う	 と
    460 する	 を
    453 する	
    249 思う	 と
    204 ある	 が
    194 なる	 に
    178 する	 に
    173 見る	 て
    169 いる	
    132 なる	
    128 する	 と
    122 云う	
    118 する	 が
    101 ある	
     94 見る	 を
     93 する	 て を
     92 見える	 と
     84 いる	 に
     80 見る	
     69 いる	 を
     67 聞く	
     66 れる	
     63 する	 は
     63 する	 て
     61 もつ	 を
     59 する	 を に
     59 いる	 と
     57 ある	 の
     56 云う	 を
     56 する	 が を
     53 行く	 へ
     52 知る	
     52 来る	 が
     52 やる	
     51 する	 から
     50 話す	
     49 出来る	 が
     48 来る	
     48 云う	 て と
     48 する	 に を
     46 く	
     46 ある	 も
     46 ある	 に
     45 聞く	 を
     45 いる	 て
     44 いる	 が
     43 する	 の
     42 死ぬ	
     42 する	 も
     42 する	 で を
     41 れる	 に
     41 なる	 が に
     40 やる	 を
     38 食う	 を
     38 思う	 か と
     38 出来る	
     38 なる	 が
     38 いる	 は
     38 ある	 は
     36 する	 と を
     35 至る	 に
     34 行く	
     34 知る	 を
     34 なる	 と
     34 する	 で
     32 考える	
     32 ある	 に が
     31 出す	 を
     31 よる	 に
     30 分る	
     30 出る	 が
     30 てる	
     30 いる	 て を
     30 いう	 と
     29 返る	
     29 出る	
     29 する	 から を
     28 持つ	 を
     28 する	 は を
     27 来る	 へ
     27 困る	
     27 なる	 て に
     26 笑う	
     26 来る	 に
     26 なさる	
     25 得る	 を
     25 とる	 を
     25 ある	 は が
     24 読む	 を
     24 云う	 とか
     24 云う	 か と
     23 行く	 て
     23 寝る	
     23 云う	 が と
     23 いる	 は に
     23 いう	
     22 行く	 に
     22 思う	
     22 云う	 から と
     22 つける	 を
     21 見る	 て て
     21 変る	
     21 やる	 に
     21 おく	
     21 いる	 は を
     21 いる	 が に
     21 ある	 と
     20 見る	 から
     20 向う	 に
     20 入る	 に
     20 云う	 に と
     20 する	 は に
     20 する	 て に
     20 する	 が に
     20 いる	 で
     19 飲む	
     19 食う	
     19 逢う	 に
     19 這入る	
     19 買う	
     19 いる	 の
     18 遣る	
     18 云う	 は と
     18 れる	 を
     18 なる	 は
     18 せる	
     18 する	 て と
     18 しまう	
     18 いる	 から
     18 ある	 に は が
     17 聞く	 か と
     17 知れる	
     17 思う	 て と
     17 帰る	
     17 分る	 か
     17 なる	 の
     17 する	 と が
     17 くれる	
     17 くる	
     17 いる	 に が
     16 見る	 て を
     16 立つ	
     16 怒る	
     16 出る	 へ
     16 云う	 から
     16 なる	 は に
     16 する	 は と
     16 いる	 も
     15 飛ぶ	
     15 這入る	 へ
     15 起きる	
     15 立てる	 を
     15 知れる	 かも
     15 出来る	 も
     15 られる	 に
     15 つく	
     15 せる	 を
     15 からかう	
     15 かよう	
     15 おる	 て
     15 いえる	
     14 限る	 に
     14 貰う	
     14 話す	 の
     14 見る	 と
     14 生きる	
     14 持つ	
     14 思う	 な と
     14 待つ	
     14 受ける	 を
