    198 見る	て
     98 見る	を
     20 見る	から
     18 見る	て は
     17 見る	と
     17 見る	て を
     16 見る	から て
     13 見る	で
      9 見る	に
      9 見る	て と
      8 見る	が
      7 見る	に を
      7 見る	て も
      7 見る	が を
      6 見る	も
      6 見る	と を
      6 見る	て は を
      6 見る	が て
      5 見る	は
      5 見る	で を
      4 見る	は を
      4 見る	て ば
      4 見る	て ので
      4 見る	たり て
      4 見る	から を
      4 見る	か て
      3 見る	から て は
      2 見る	の
      2 見る	で は を
      2 見る	て に を
      2 見る	て に は を
      2 見る	て に は
      2 見る	て に
      2 見る	て と は
      2 見る	て で は
      2 見る	て で
      2 見る	が は も
      2 見る	が て は
      2 見る	から て を
      2 見る	か
      1 見る	より
      1 見る	も を
      1 見る	まで を
      1 見る	まで
      1 見る	は も
      1 見る	の を
      1 見る	ね
      1 見る	に従って
      1 見る	によって も
      1 見る	なんか
      1 見る	ながら は を
      1 見る	ながら に を
      1 見る	と へ
      1 見る	と に を
      1 見る	と ながら
      1 見る	で より を
      1 見る	で ばかり
      1 見る	で は
      1 見る	で と
      1 見る	て まで
      1 見る	て ばかり
      1 見る	て の は を
      1 見る	て ねえ
      1 見る	て ね ば ばかり まで
      1 見る	て なあ
      1 見る	て として に
      1 見る	て と も
      1 見る	て と ばかり
      1 見る	て で は を
      1 見る	て で と は
      1 見る	って に を
      1 見る	って て
      1 見る	だけ も
      1 見る	すら
      1 見る	じゃ て に
      1 見る	し も
      1 見る	さえ て
      1 見る	が ので
      1 見る	が に を
      1 見る	が に
      1 見る	が と は
      1 見る	が で を
      1 見る	が で
      1 見る	が て んで
      1 見る	が て ば
      1 見る	が て ので
      1 見る	が て ながら は
      1 見る	が て ながら
      1 見る	が て な
      1 見る	が て と に の は を
      1 見る	が て と
      1 見る	が て で
      1 見る	が たり て を
      1 見る	から んで
      1 見る	から に
      1 見る	から ながら
      1 見る	から で
      1 見る	から て に
      1 見る	から たり と
      1 見る	から じゃ
      1 見る	か で
      1 見る	か て は
      1 見る	か が
