,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__solver,param_vectorizer__max_df,param_vectorizer__method,param_vectorizer__min_df,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.20607609748840333,0.03797617314082515,0.017679214477539062,0.001087421551250744,1,newton-cg,0.07,tfidf,0.0003,"{'classifier__C': 1, 'classifier__solver': 'newton-cg', 'vectorizer__max_df': 0.07, 'vectorizer__method': 'tfidf', 'vectorizer__min_df': 0.0003}",0.74375,0.7275,0.7375,0.7622027534418022,0.7615769712140176,0.7464982491245623,0.013589137636863972,1
1,0.23207216262817382,0.025234101615506346,0.02024683952331543,0.003495498214562765,1,newton-cg,0.07,tfidf,0.0004,"{'classifier__C': 1, 'classifier__solver': 'newton-cg', 'vectorizer__max_df': 0.07, 'vectorizer__method': 'tfidf', 'vectorizer__min_df': 0.0004}",0.744375,0.72625,0.735625,0.7528160200250313,0.7634543178973717,0.7444972486243121,0.01296264336887112,7
2,0.2782071590423584,0.030424785550490586,0.022583818435668944,0.003836531094920993,1,newton-cg,0.07,count,0.0003,"{'classifier__C': 1, 'classifier__solver': 'newton-cg', 'vectorizer__max_df': 0.07, 'vectorizer__method': 'count', 'vectorizer__min_df': 0.0003}",0.735625,0.725,0.7325,0.7453066332916145,0.7484355444305382,0.7373686843421711,0.00854594670455045,17
3,0.24919767379760743,0.015501801426437409,0.017431116104125975,0.00241375718648766,1,newton-cg,0.07,count,0.0004,"{'classifier__C': 1, 'classifier__solver': 'newton-cg', 'vectorizer__max_df': 0.07, 'vectorizer__method': 'count', 'vectorizer__min_df': 0.0004}",0.72875,0.725,0.733125,0.746558197747184,0.7509386733416771,0.7368684342171086,0.010124589772378671,21
4,0.21180310249328613,0.0332985490630382,0.017346620559692383,0.0008141663057275953,1,newton-cg,0.1,tfidf,0.0003,"{'classifier__C': 1, 'classifier__solver': 'newton-cg', 'vectorizer__max_df': 0.1, 'vectorizer__method': 'tfidf', 'vectorizer__min_df': 0.0003}",0.7425,0.7275,0.740625,0.7603254067584481,0.7578222778473092,0.7457478739369685,0.012066393360578034,4
5,0.2216357707977295,0.029355410196619355,0.018315649032592772,0.001387945198447805,1,newton-cg,0.1,tfidf,0.0004,"{'classifier__C': 1, 'classifier__solver': 'newton-cg', 'vectorizer__max_df': 0.1, 'vectorizer__method': 'tfidf', 'vectorizer__min_df': 0.0004}",0.743125,0.724375,0.736875,0.7540675844806007,0.7603254067584481,0.7437468734367184,0.012682027232135858,11
6,0.2549691677093506,0.04314954171569816,0.016590356826782227,0.0004850615298422752,1,newton-cg,0.1,count,0.0003,"{'classifier__C': 1, 'classifier__solver': 'newton-cg', 'vectorizer__max_df': 0.1, 'vectorizer__method': 'count', 'vectorizer__min_df': 0.0003}",0.735,0.724375,0.7325,0.7453066332916145,0.7496871088861077,0.7373686843421711,0.009086728570926978,17
7,0.2547880172729492,0.033259844764099544,0.018173837661743165,0.0045183879128386575,1,newton-cg,0.1,count,0.0004,"{'classifier__C': 1, 'classifier__solver': 'newton-cg', 'vectorizer__max_df': 0.1, 'vectorizer__method': 'count', 'vectorizer__min_df': 0.0004}",0.72875,0.725,0.7325,0.7471839799749687,0.746558197747184,0.7359929964982491,0.00919004514424469,23
8,0.17790002822875978,0.03615588282110677,0.021167469024658204,0.007858151887109137,1,liblinear,0.07,tfidf,0.0003,"{'classifier__C': 1, 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.07, 'vectorizer__method': 'tfidf', 'vectorizer__min_df': 0.0003}",0.743125,0.7275,0.7375,0.7622027534418022,0.7615769712140176,0.7463731865932967,0.01361670265310512,2
9,0.17872023582458496,0.01715923830234903,0.019985103607177736,0.0018125890578073677,1,liblinear,0.07,tfidf,0.0004,"{'classifier__C': 1, 'classifier__solver': 'liblinear', 'vectorizer__max_df': 0.07, 'vectorizer__method': 'tfidf', 'vectorizer__min_df': 0.0004}",0.744375,0.72625,0.735625,0.7528160200250313,0.7634543178973717,0.7444972486243121,0.01296264336887112,7
