Char	Freq
chick	11
flick	97
guy	69
impress	62
flaw	56
effort	77
indic	10
real	152
talent	84
display	18
equal	39
amount	33
naiveté	2
passion	60
cloud	3
establish	14
sen	2
filmmak	173
consider	29
potenti	40
offer	126
much	388
glib	8
soulless	10
raunchi	8
languag	16
seri	70
brutal	25
set	115
piec	109
rais	23
bar	10
styliz	11
screen	149
violenc	38
witless	11
pointless	18
tasteless	7
idiot	14
go	334
long	193
bog	12
surfeit	2
charact	492
unnecessari	10
subplot	9
provid	63
nail	10
bite	27
suspens	66
credibl	22
reli	21
technolog	14
moment	147
techniqu	9
pretenti	43
dialogu	99
everi	179
note	16
ring	27
fals	13
car	24
pileup	3
clich	93
love	303
way	338
take	290
chanc	24
realli	197
ask	29
great	171
leap	8
faith	34
pay	49
lag	2
finish	25
line	66
movi	1583
run	102
good	432
race	18
edg	33
seat	26
stretch	18
smith	10
examin	44
intim	25
unguard	1
folk	21
live	109
unusu	26
home	69
pop	37
nearli	70
corner	11
countri	25
make	838
minut	192
feel	381
hour	119
companion	5
napoleon	6
film	1801
small	55
fortun	8
salari	1
stunt	27
save	42
director	329
tom	21
dey	2
splice	3
togeth	84
bit	97
midnight	6
matter	85
shrek	3
fun	168
wispi	1
wise	26
surprisingli	54
inoffens	11
teen	55
stepmom	1
visual	128
seduct	9
unrepentantli	1
trashi	9
rice	9
second	46
instal	11
vampir	17
chronicl	10
clare	3
kilner	1
debut	59
never	263
daft	3
perform	359
thrill	49
action	206
agitprop	3
cartoon	36
shameless	5
coars	5
almost	127
funni	295
absolut	29
reason	75
blue	23
crush	31
late	21
summer	48
surfer	2
girl	84
entri	11
entertain	231
jimmi	2
routin	31
use	109
laugh	140
rare	90
snake	5
ooo	1
yung	1
still	184
comic	81
book	66
maguir	3
soul	44
best	243
say	126
work	376
scottish	5
ritchi	11
obvious	24
heart	162
sequel	54
skip	15
gain	7
consid	39
review	10
life	312
affirm	16
burst	12
automat	5
gunfir	2
stori	540
trenchant	4
critiqu	5
capit	5
binoch	7
magimel	3
perfect	55
role	59
lyric	19
metaphor	28
cultur	92
person	88
self	133
discoveri	15
picaresqu	1
view	64
littl	307
rememb	44
world	156
burn	23
blast	10
stab	7
shoot	59
hide	17
weak	27
script	151
camouflag	6
